Player 2
Lyudmila Belyakova
Liana Ganeyeva
Laura Stacey
Maria Batalova
Olga Sosina
Valeria Pavlova
Meaghan Mikkelson
Sarah Nurse
Angelina Goncharenko
Yelena Dergachyova
Meghan Agosta
Marie-Philip Poulin
Anna Shokhina
Brigette Lacquette
Melodie Daoust
Rebecca Johnston
Laura Fortino
Yevgenia Dyupina
Natalie Spooner
Brianne Jenner
Yekaterina Nikolayeva
Jocelyne Larocque
Blayre Turnbull
Yekaterina Smolina
Emily Clark
Lauriane Rougeau
Fanuza Kadirova
Renata Fast
Nina Pirogova
Alevtina Shtaryova
Yekaterina Lovova
Jennifer Wakefield
Jillian Saulnier
Haley Irwin
Diana Kanayeva
Bailey Bram
Svetlana Tkachyova
Viktoria Kulishova
Riikka Sallinen
Isa Rahunen
Jenni Hiirikoski
Linda Valimaki
Minnamari Tuominen
Venla Hovi
Ronja Savolainen
Tanja Niskanen
Rosa Lindstedt
Sara Sakkinen
Noora Tulus
Emma Nuutinen
Mira Jalosuo
Michelle Karvinen
Susanna Tapani
Petra Nieminen
Annina Rajahuhta
Sanni Hakala
Saila Saari
Brianna Decker
Cayla Barnes
Emily Pfalzer
Megan Keller
Kendall Coyne Schofield
Dani Cameranesi
Amanda Kessel
Kali Flanagan
Hannah Brandt
Lee Stecklein
Sidney Morin
Monique Lamoureux
Amanda Pelkey
Gigi Marvin
Kacey Bellamy
Hilary Knight
Jocelyne Lamoureux
Kelly Pannek
Meghan Duggan
Haley Skarupa
Alyona Starovoitova
Anastasia Chistyakova
Yekaterina Likhachyova
Nadezhda Alexandrova
Shannon Szabados
Cassidy Vinkle
Rachael Smith
Skylar Podvey
Taylor Turnquist
Kalie Grant
Ella Shelton
Loren Gabel
Kelly Mariani
Lydia Grauer
Maggie McLaughlin
Steph Keryluk
Michala Pejzlova
Charlea Pedersen
Elizabeth Giguere
Taylor Sawka
Emma Keenan
Tia Stoddard
Justine Reyes
Morgan Helgeson
Kristy Pidgeon
Kristen Guerriero
Nadine Edney
Avery Mitchell
Taylar Cianfarano
Amanda Butterfield
Jacquie Diffley
Jessica Poirier
Natalie Wozney
Claire Dudley
Josiane Pozzebon
Kayla Nielsen
Brittany Howard
Rebecca Leslie
Erin Ambrose
Halli Krzyzaniak
Savannah Harmon
Victoria Bach
Alex Carpenter
Hayley Scamurra
Zoe Hickel
Jamie Lee Rattray
Ann-Sophie Bettez
Megan Bozek
Dana Trivigno
Shelly Picard
Alex Cavalini
Annie Pankowski
Mich Zandee-Hart
Sydney Brodt
Melissa Samoskevich
Jesse Compher
Jamie Bourbonnais
Nelli Laitinen
Elisa Holopainen
Viivi Vainikka
Ella Viitasuo
Noora Raty
